1803,1710,2091,927,1275,1583,1525,1158,1175,1568,1089,1204,1173,1342,1373,1312,1673,810,1321,1369,1374,816,1496,1486,1517,1718,1788,1621,1090,1710,0,1207,1073,1022,1260,1315,1139,1114,2410,1972,null,null,2201,1080
1449,1356,1698,852,915,1229,1171,804,821,1214,684,850,819,988,1019,946,1319,555,928,976,981,500,1088,1093,1093,1325,1392,1197,377,1286,1207,0,294,377,null,null,314,469,2002,1548,1428,1720,1777,1340
1266,1173,1527,718,715,1033,975,639,656,1018,619,667,654,792,823,746,1123,381,764,812,817,341,888,929,893,1154,1192,997,271,1086,1073,294,0,271,347,402,230,363,1802,1348,1294,1586,1577,1206
1317,1224,1606,667,798,1097,1039,672,689,1082,592,718,687,856,887,829,1187,370,836,884,889,376,971,1001,976,1233,1275,1080,543,1169,1022,377,271,0,430,485,201,null,1885,1431,1243,1535,1660,1155
1502,1409,1751,905,968,1282,1224,857,874,1267,737,903,872,1041,1072,999,1372,608,981,1029,1034,553,1141,1146,1146,1378,1445,1250,430,1339,1260,null,347,430,0,null,367,522,2055,1601,1481,1773,1830,1393
1557,1464,1806,960,1023,1337,1279,912,929,1322,792,958,927,1096,1127,1054,1427,663,1036,1084,1089,608,1196,1201,1201,1433,1500,1305,485,1394,1315,null,402,485,null,0,422,577,2110,1656,1536,1828,1885,1448
1332,1239,1593,784,781,1099,1041,705,722,1084,620,733,720,858,889,812,1189,447,830,878,883,407,954,995,959,1220,1258,1063,201,1152,1139,314,230,201,367,422,0,293,1868,1414,1360,1652,1643,1272
1409,1316,1698,759,890,1189,1131,764,781,1174,684,810,779,948,979,921,1279,462,928,976,981,468,1063,1093,1068,1325,1367,1172,635,1261,1114,469,363,null,522,577,293,0,1977,1523,1335,1627,1752,1247
1954,1861,1606,2055,1281,1641,1583,1458,1326,1626,1402,1355,1324,1400,1431,1326,1731,1690,1156,1204,1209,1764,1053,1059,1025,821,685,927,1885,996,2410,2002,1802,1885,2055,2110,1868,1977,0,1258,2631,2923,1487,2543
1516,1423,1478,1617,827,1187,1129,1020,888,1172,948,917,886,946,977,872,1277,1252,690,738,743,1326,573,579,545,1090,1160,507,1431,null,1972,1548,1348,1431,1601,1656,1414,1523,1258,0,2193,2485,null,2105
2024,1931,2312,1148,1496,1804,1746,1379,1396,1789,1310,1425,1394,1563,1594,1533,1894,1031,1542,1590,1595,1037,1717,1707,1738,1939,2009,1842,1311,1931,null,1428,1294,1243,1481,1536,1360,1335,2631,2193,0,null,2422,1301
2316,2223,2604,1440,1788,2096,2038,1671,1688,2081,1602,1717,1686,1855,1886,1825,2186,1323,1834,1882,1887,1329,2009,1999,2030,2231,2301,2134,1603,2223,null,1720,1586,1535,1773,1828,1652,1627,2923,2485,null,0,2714,1593
1745,1652,1707,1846,1056,1416,1358,1249,1117,1401,1177,1146,1115,1175,1206,1101,1506,1481,919,967,972,1555,802,808,774,1319,1389,736,1660,null,2201,1777,1577,1660,1830,1885,1643,1752,1487,null,2422,2714,0,2334
1936,1843,2224,1060,1408,1716,1658,1291,1308,1701,1222,1337,1306,1475,1506,1445,1806,943,1454,1502,1507,949,1629,1619,1650,1851,1921,1754,1223,1843,1080,1340,1206,1155,1393,1448,1272,1247,2543,2105,1301,1593,2334,0
