Plant.ID,Planting.group,Species,Domestication,Accession,Rhizobia,N.treatment,Shade,Block,Position,random,Nodule.notes,Shoot.weight,Date,Roots.,Flowers,Pods,Stems,Notes
PS134,G6,sat,Domesticated,S3,Fix-,LN,50%,B3,P14,0.392307514,,0.6813,2/1/2023,y,0.0,1,1.0,
PS135,G17,sat,Domesticated,S3,Mix1,HN,50%,B3,P15,0.960440407,,0.693,2/3/2023,y,0.0,0,1.0,
PS136,G9,ful,Wild,F3,Fix+,HN,50%,B3,P16,0.647717235,,0.166,2/3/2023,n,1.0,0,3.0,
PS137,G16,ful,Wild,F3,Mix1,LN,50%,B3,P17,0.944037231,,0.1803,2/3/2023,n,0.0,0,1.0,
PS138,G22,ful,Wild,F3,Mix2,LN,50%,B3,P18,0.003074576,,0.1673,2/3/2023,n,0.0,0,1.0,
PS139,G14,elat,Wild,E3,Mix1,LN,50%,B3,P19,0.035410254,,0.451,2/3/2023,y,0.0,0,1.0,
PS140,G1,elat,Wild,E3,Fix-,HN,50%,B3,P20,0.163323906,,0.3564,2/3/2023,n,0.0,0,1.0,
PS141,G4,ful,Wild,F3,Fix-,LN,50%,B3,P21,0.5803684,,0.1266,2/3/2023,n,0.0,0,1.0,
PS143,G19,elat,Wild,E3,Mix2,HN,50%,B3,P23,0.519712988,,0.5067,2/3/2023,n,0.0,0,1.0,
PS145,G24,sat,Domesticated,S3,Mix2,LN,50%,B3,P25,0.428268595,,0.5084,2/3/2023,y,0.0,0,1.0,
PS147,G5,sat,Domesticated,S3,Fix-,HN,50%,B3,P27,0.657116283,,0.8677,2/3/2023,n,1.0,1,1.0,
PS148,G3,ful,Wild,F3,Fix-,HN,50%,B3,P28,0.880607009,,0.3679,2/3/2023,n,1.0,1,1.0,
PS149,G23,sat,Domesticated,S3,Mix2,HN,50%,B3,P29,0.437269223,,0.9481,2/3/2023,y,0.0,1,1.0,
PS153,G11,sat,Domesticated,S3,Fix+,HN,NS,B3,P33,0.929980035,,1.112,1/13/2023,n,0.0,1,1.0,
PS155,G2,elat,Wild,E3,Fix-,LN,NS,B3,P35,0.558954686,,0.2222,1/13/2023,n,0.0,0,1.0,
PS158,G17,sat,Domesticated,S3,Mix1,HN,NS,B3,P38,0.742984071,,0.5371,1/13/2023,n,1.0,0,1.0,
PS159,G16,ful,Wild,F3,Mix1,LN,NS,B3,P39,0.251377143,,0.1869,1/13/2023,n,0.0,0,1.0,
PS160,G12,sat,Domesticated,S3,Fix+,LN,NS,B3,P40,0.905347629,,1.0045,1/13/2023,n,0.0,1,1.0,
PS161,G20,elat,Wild,E3,Mix2,LN,NS,B3,P41,0.25997985,,0.4723,1/13/2023,n,0.0,0,1.0,
PS162,G7,elat,Wild,E3,Fix+,HN,NS,B3,P42,0.684726673,,0.3784,1/13/2023,n,0.0,0,1.0,
PS163,G3,ful,Wild,F3,Fix-,HN,NS,B3,P43,0.785504766,,0.3665,1/13/2023,n,1.0,0,1.0,
PS164,G18,sat,Domesticated,S3,Mix1,LN,NS,B3,P44,0.689491003,,0.5596,1/13/2023,y,0.0,0,1.0,
PS165,G9,ful,Wild,F3,Fix+,HN,NS,B3,P45,0.85221242,,0.3576,1/13/2023,n,1.0,1,2.0,
PS166,G23,sat,Domesticated,S3,Mix2,HN,NS,B3,P46,0.853103746,,1.3407,1/13/2023,y,1.0,1,1.0,
PS167,G13,elat,Wild,E3,Mix1,HN,NS,B3,P47,0.76242542,,0.2702,1/13/2023,n,0.0,0,1.0,
PS168,G5,sat,Domesticated,S3,Fix-,HN,NS,B3,P48,0.050767279,,1.0187,1/13/2023,n,0.0,1,1.0,
PS169,G10,ful,Wild,F3,Fix+,LN,NS,B3,P49,0.33117468,,0.1703,1/13/2023,n,0.0,0,1.0,
PS170,G19,elat,Wild,E3,Mix2,HN,NS,B3,P50,0.303583325,,0.5988,1/13/2023,y,0.0,0,1.0,
PS172,G6,sat,Domesticated,S3,Fix-,LN,NS,B3,P52,0.732676491,,0.6974,1/13/2023,y,1.0,0,1.0,
PS173,G4,ful,Wild,F3,Fix-,LN,NS,B3,P53,0.447059655,,0.1137,1/13/2023,n,0.0,0,1.0,
PS174,G1,elat,Wild,E3,Fix-,HN,NS,B3,P54,0.853839024,,0.384,1/17/2023,n,0.0,0,1.0,
PS175,G21,ful,Wild,F3,Mix2,HN,NS,B3,P55,0.28178105,,0.304,1/17/2023,n,0.0,1,1.0,
PS178,G14,elat,Wild,E3,Mix1,LN,NS,B3,P58,0.294762866,,0.3221,1/20/2023,n,0.0,0,1.0,
PS179,G22,ful,Wild,F3,Mix2,LN,NS,B3,P59,0.441754385,,0.2007,1/20/2023,n,0.0,0,1.0,
PS180,G8,elat,Wild,E3,Fix+,LN,NS,B3,P60,0.963499673,,0.334,1/27/2023,n,0.0,0,1.0,
PS183,G1,elat,Wild,E4,Fix-,HN,50%,B4,P3,0.596822946,,0.5943,3/3/2023,n,0.0,1,1.0,
PS185,G12,sat,Domesticated,S4,Fix+,LN,50%,B4,P5,0.768823382,,0.6531,3/3/2023,n,0.0,1,1.0,
PS187,G24,sat,Domesticated,S4,Mix2,LN,50%,B4,P7,0.477834366,,0.5062,3/3/2023,y,0.0,1,1.0,
PS190,G23,sat,Domesticated,S4,Mix2,HN,50%,B4,P10,0.782040493,,0.694,3/3/2023,n,0.0,1,1.0,
PS191,G11,sat,Domesticated,S4,Fix+,HN,50%,B4,P11,0.686234626,,0.8498,3/3/2023,y,0.0,2,1.0,
PS192,G16,ful,Wild,F4,Mix1,LN,50%,B4,P12,0.414678028,,0.2429,3/3/2023,n,0.0,0,1.0,
PS193,G18,sat,Domesticated,S4,Mix1,LN,50%,B4,P13,0.010352729,,0.6923,3/3/2023,n,0.0,0,1.0,
PS195,G14,elat,Wild,E4,Mix1,LN,50%,B4,P15,0.922788879,,0.1709,3/3/2023,y,0.0,0,1.0,
PS198,G5,sat,Domesticated,S4,Fix-,HN,50%,B4,P18,0.501310838,,0.898,3/3/2023,n,0.0,2,1.0,
PS200,G8,elat,Wild,E4,Fix+,LN,50%,B4,P20,0.453957759,,0.3284,3/3/2023,n,0.0,0,1.0,
PS203,G17,sat,Domesticated,S4,Mix1,HN,50%,B4,P23,0.434798737,,0.7505,3/3/2023,n,0.0,2,1.0,
PS207,G19,elat,Wild,E4,Mix2,HN,50%,B4,P27,0.472227198,,0.5931,3/6/2023,n,0.0,1,1.0,
PS210,G6,sat,Domesticated,S4,Fix-,LN,50%,B4,P30,0.834998204,,0.6598,3/6/2023,n,0.0,2,1.0,
PS211,G3,ful,Wild,F4,Fix-,HN,NS,B4,P31,0.259229693,,0.4318,2/3/2023,n,0.0,1,2.0,
PS213,G1,elat,Wild,E4,Fix-,HN,NS,B4,P33,0.056028276,,0.47,2/3/2023,n,0.0,0,1.0,
PS218,G20,elat,Wild,E4,Mix2,LN,NS,B4,P38,0.729075457,,0.1131,2/3/2023,n,0.0,0,1.0,
PS221,G21,ful,Wild,F4,Mix2,HN,NS,B4,P41,0.948234971,,0.1566,2/3/2023,n,0.0,0,2.0,
PS222,G6,sat,Domesticated,S4,Fix-,LN,NS,B4,P42,0.313048378,,0.7236,2/3/2023,n,1.0,1,1.0,
PS223,G2,elat,Wild,E4,Fix-,LN,NS,B4,P43,0.52815108,,0.2492,2/3/2023,n,1.0,0,1.0,
PS224,G4,ful,Wild,F4,Fix-,LN,NS,B4,P44,0.048442701,,0.2064,2/3/2023,n,0.0,0,2.0,
PS226,G18,sat,Domesticated,S4,Mix1,LN,NS,B4,P46,0.826147594,,0.7462,2/3/2023,n,0.0,0,1.0,
PS230,G12,sat,Domesticated,S4,Fix+,LN,NS,B4,P50,0.470718828,,0.9554,2/3/2023,n,0.0,2,1.0,
PS231,G17,sat,Domesticated,S4,Mix1,HN,NS,B4,P51,0.345076897,,0.6787,2/3/2023,n,0.0,2,1.0,
PS233,G5,sat,Domesticated,S4,Fix-,HN,NS,B4,P53,0.974664394,,0.9212,2/10/2023,y,0.0,2,1.0,
PS234,G11,sat,Domesticated,S4,Fix+,HN,NS,B4,P54,0.635014342,,0.7485,2/10/2023,n,1.0,1,1.0,
PS235,G19,elat,Wild,E4,Mix2,HN,NS,B4,P55,0.116642771,,0.4119,2/10/2023,n,1.0,0,1.0,
PS239,G23,sat,Domesticated,S4,Mix2,HN,NS,B4,P59,0.079776217,,1.277,2/10/2023,y,1.0,1,1.0,
PS240,G16,ful,Wild,F4,Mix1,LN,NS,B4,P60,0.303600195,,0.3206,2/10/2023,n,1.0,0,2.0,
PS241,G18,sat,Domesticated,S5,Mix1,LN,50%,B5,P1,0.127827073,,0.6072,3/3/2023,n,1.0,1,1.0,
PS243,G7,elat,Wild,E5,Fix+,HN,50%,B5,P3,0.897720895,,0.3376,3/3/2023,n,1.0,0,1.0,
PS244,G2,elat,Wild,E5,Fix-,LN,50%,B5,P4,0.73369934,,0.1147,3/3/2023,n,0.0,0,1.0,
PS245,G6,sat,Domesticated,S5,Fix-,LN,50%,B5,P5,0.537375841,,0.4941,3/3/2023,n,1.0,0,1.0,
PS249,G8,elat,Wild,E5,Fix+,LN,50%,B5,P9,0.256046609,,0.1404,3/3/2023,y,0.0,0,1.0,
PS250,G5,sat,Domesticated,S5,Fix-,HN,50%,B5,P10,0.301466248,,0.6673,3/3/2023,n,1.0,0,1.0,
PS251,G11,sat,Domesticated,S5,Fix+,HN,50%,B5,P11,0.784385172,,0.5223,3/3/2023,n,0.0,1,1.0,
PS252,G20,elat,Wild,E5,Mix2,LN,50%,B5,P12,0.76600475,,0.191,3/3/2023,n,0.0,0,1.0,
PS254,G17,sat,Domesticated,S5,Mix1,HN,50%,B5,P14,0.171044321,,0.4997,3/3/2023,n,0.0,1,1.0,
PS256,G12,sat,Domesticated,S5,Fix+,LN,50%,B5,P16,0.584978804,,0.5673,3/3/2023,n,1.0,1,1.0,
PS259,G14,elat,Wild,E5,Mix1,LN,50%,B5,P19,0.661111107,,0.1586,3/3/2023,n,0.0,0,1.0,
PS262,G19,elat,Wild,E5,Mix2,HN,50%,B5,P22,0.988576165,,0.3924,3/3/2023,n,1.0,0,1.0,
PS263,G13,elat,Wild,E5,Mix1,HN,50%,B5,P23,0.808268959,,0.4257,3/3/2023,n,0.0,0,1.0,
PS269,G1,elat,Wild,E5,Fix-,HN,50%,B5,P29,0.88632801,,0.2977,3/3/2023,n,0.0,0,1.0,
PS270,G23,sat,Domesticated,S5,Mix2,HN,50%,B5,P30,0.417767701,,0.6355,3/3/2023,n,1.0,1,1.0,
PS271,G5,sat,Domesticated,S5,Fix-,HN,NS,B5,P31,0.827883729,,1.0145,2/10/2023,y,0.0,0,1.0,
PS273,G11,sat,Domesticated,S5,Fix+,HN,NS,B5,P33,0.189372199,,1.2389,3/3/2023,n,0.0,1,1.0,
PS274,G23,sat,Domesticated,S5,Mix2,HN,NS,B5,P34,0.396373765,,1.29,2/10/2023,n,0.0,2,1.0,
PS275,G8,elat,Wild,E5,Fix+,LN,NS,B5,P35,0.256366672,,0.2472,2/10/2023,n,0.0,0,1.0,
PS279,G20,elat,Wild,E5,Mix2,LN,NS,B5,P39,0.015654063,,0.1137,2/10/2023,n,0.0,0,1.0,
PS281,G6,sat,Domesticated,S5,Fix-,LN,NS,B5,P41,0.480065304,,0.6233,2/10/2023,n,0.0,2,1.0,
PS283,G17,sat,Domesticated,S5,Mix1,HN,NS,B5,P43,0.283330385,,1.1018,2/10/2023,n,0.0,1,1.0,
PS285,G12,sat,Domesticated,S5,Fix+,LN,NS,B5,P45,0.67255491,,1.0358,3/3/2023,n,0.0,1,1.0,
PS288,G18,sat,Domesticated,S5,Mix1,LN,NS,B5,P48,0.886679634,,0.7683,3/3/2023,y,0.0,2,1.0,
PS289,G2,elat,Wild,E5,Fix-,LN,NS,B5,P49,0.392697608,,0.221,3/3/2023,y,0.0,0,1.0,
PS291,G24,sat,Domesticated,S5,Mix2,LN,NS,B5,P51,0.674985616,,0.7299,3/3/2023,y,0.0,1,1.0,
PS296,G7,elat,Wild,E5,Fix+,HN,NS,B5,P56,0.545409901,,0.1639,3/3/2023,n,0.0,0,1.0,
PS298,G14,elat,Wild,E5,Mix1,LN,NS,B5,P58,0.388831749,,0.2247,3/3/2023,n,0.0,0,1.0,
PS299,G13,elat,Wild,E5,Mix1,HN,NS,B5,P59,0.67055568,,0.2395,3/3/2023,n,0.0,0,1.0,
PS301,G21,ful,Wild,F6,Mix2,HN,50%,B6,P1,0.040986389,,0.2024,3/6/2023,,,1,,
PS304,G19,elat,Wild,E6,Mix2,HN,50%,B6,P4,0.260056946,,0.2354,3/6/2023,n,0.0,0,1.0,
PS305,G11,sat,Domesticated,S6,Fix+,HN,50%,B6,P5,0.629018362,,0.1662,3/6/2023,n,0.0,0,1.0,
PS306,G4,ful,Wild,F6,Fix-,LN,50%,B6,P6,0.009647866,,0.7432,3/6/2023,n,0.0,1,1.0,
PS307,G1,elat,Wild,E6,Fix-,HN,50%,B6,P7,0.411528473,,0.2086,3/6/2023,y,0.0,0,1.0,
PS308,G18,sat,Domesticated,S6,Mix1,LN,50%,B6,P8,0.582053548,,0.4703,3/6/2023,n,0.0,1,1.0,
PS309,G7,elat,Wild,E6,Fix+,HN,50%,B6,P9,0.613988498,,0.1909,3/6/2023,n,0.0,0,1.0,some sample on outside of envelope
PS311,G6,sat,Domesticated,S6,Fix-,LN,50%,B6,P11,0.393930368,,0.4017,3/6/2023,y,0.0,1,1.0,
PS312,G13,elat,Wild,E6,Mix1,HN,50%,B6,P12,0.480833295,,0.5466,3/6/2023,n,0.0,0,1.0,
PS313,G23,sat,Domesticated,S6,Mix2,HN,50%,B6,P13,0.019706939,,0.6738,3/6/2023,n,0.0,1,1.0,
PS316,G20,elat,Wild,E6,Mix2,LN,50%,B6,P16,0.253493772,,0.1616,3/6/2023,y,0.0,0,1.0,
PS317,G12,sat,Domesticated,S6,Fix+,LN,50%,B6,P17,0.61070834,,0.638,3/6/2023,n,0.0,1,1.0,
PS318,G5,sat,Domesticated,S6,Fix-,HN,50%,B6,P18,0.689263677,,0.7642,3/6/2023,n,0.0,1,1.0,
PS325,G17,sat,Domesticated,S6,Mix1,HN,50%,B6,P25,0.821098209,,0.7175,3/6/2023,n,0.0,1,1.0,
PS326,G14,elat,Wild,E6,Mix1,LN,50%,B6,P26,0.636095283,,0.2118,3/6/2023,n,0.0,0,1.0,
PS328,G2,elat,Wild,E6,Fix-,LN,50%,B6,P28,0.89493224,,0.1466,3/6/2023,n,0.0,0,1.0,
PS330,G8,elat,Wild,E6,Fix+,LN,50%,B6,P30,0.039209275,,0.1783,3/6/2023,n,0.0,0,1.0,
PS331,G10,ful,Wild,F6,Fix+,LN,NS,B6,P31,0.701771692,,0.2059,2/10/2023,n,0.0,1,1.0,
PS332,G1,elat,Wild,E6,Fix-,HN,NS,B6,P32,0.577671255,,0.1353,2/10/2023,n,0.0,0,1.0,
PS333,G20,elat,Wild,E6,Mix2,LN,NS,B6,P33,0.578766385,,0.2434,2/10/2023,y,0.0,0,1.0,
PS334,G14,elat,Wild,E6,Mix1,LN,NS,B6,P34,0.674117853,,0.1627,2/10/2023,n,0.0,0,2.0,
PS335,G8,elat,Wild,E6,Fix+,LN,NS,B6,P35,0.661297338,,0.2138,2/10/2023,n,0.0,0,1.0,
PS336,G18,sat,Domesticated,S6,Mix1,LN,NS,B6,P36,0.188289716,,0.6969,2/10/2023,y,0.0,2,1.0,
PS338,G3,ful,Wild,F6,Fix-,HN,NS,B6,P38,0.781264546,,0.2634,2/10/2023,n,0.0,2,1.0,
PS340,G24,sat,Domesticated,S6,Mix2,LN,NS,B6,P40,0.434215241,,0.492,2/10/2023,n,2.0,0,1.0,
PS344,G9,ful,Wild,F6,Fix+,HN,NS,B6,P44,0.373730384,,0.0684,2/10/2023,n,0.0,1,1.0,
PS345,G19,elat,Wild,E6,Mix2,HN,NS,B6,P45,0.292555207,,0.3378,2/10/2023,y,0.0,0,1.0,droped envelope with sample in on floor. Envelope was closed. 
PS346,G7,elat,Wild,E6,Fix+,HN,NS,B6,P46,0.869360143,,0.2871,2/10/2023,n,0.0,0,1.0,
PS350,G2,elat,Wild,E6,Fix-,LN,NS,B6,P50,0.186784797,,0.1431,2/10/2023,n,0.0,0,1.0,
PS351,G22,ful,Wild,F6,Mix2,LN,NS,B6,P51,0.793026079,,0.2261,2/10/2023,y,0.0,2,1.0,
PS352,G13,elat,Wild,E6,Mix1,HN,NS,B6,P52,0.523433534,,0.3984,2/10/2023,y,0.0,0,1.0,
PS353,G12,sat,Domesticated,S6,Fix+,LN,NS,B6,P53,0.014365915,,0.7795,2/10/2023,n,1.0,1,1.0,
PS354,G5,sat,Domesticated,S6,Fix-,HN,NS,B6,P54,0.709682622,,0.8481,2/10/2023,y,0.0,1,1.0,
PS355,G21,ful,Wild,F6,Mix2,HN,NS,B6,P55,0.696430566,,0.29,2/10/2023,n,0.0,1,2.0,
PS356,G11,sat,Domesticated,S6,Fix+,HN,NS,B6,P56,0.504694452,,0.8664,2/10/2023,y,0.0,1,1.0,
PS358,G17,sat,Domesticated,S6,Mix1,HN,NS,B6,P58,0.524849186,,1.0178,2/10/2023,y,0.0,2,1.0,
PS360,G6,sat,Domesticated,S6,Fix-,LN,NS,B6,P60,0.956664383,,0.4791,2/10/2023,n,0.0,0,1.0,
PS362,G18,sat,Domesticated,S7,Mix1,LN,50%,B7,P2,0.47600401,,0.314,12/16/2022,y,2.0,0,2.0,
PS363,G8,elat,Wild,E7,Fix+,LN,50%,B7,P3,0.038197699,,0.2117,12/16/2022,n,0.0,0,1.0,
PS365,G13,elat,Wild,E7,Mix1,HN,50%,B7,P5,0.33349564,,0.284,12/16/2022,n,0.0,0,1.0,
PS368,G20,elat,Wild,E7,Mix2,LN,50%,B7,P8,0.441839227,,0.191,12/16/2022,n,0.0,0,1.0,
PS369,G19,elat,Wild,E7,Mix2,HN,50%,B7,P9,0.870761714,,0.3259,12/16/2022,n,0.0,0,1.0,
PS370,G10,ful,Wild,F7,Fix+,LN,50%,B7,P10,0.402401319,,0.1758,12/16/2022,n,1.0,1,1.0,
PS371,G23,sat,Domesticated,S7,Mix2,HN,50%,B7,P11,0.390340394,,0.6585,12/16/2022,y,0.0,1,1.0,
PS372,G7,elat,Wild,E7,Fix+,HN,50%,B7,P12,0.806278098,,0.2507,12/16/2022,n,0.0,0,1.0,
PS373,G12,sat,Domesticated,S7,Fix+,LN,50%,B7,P13,0.770480562,,0.3626,12/16/2022,n,0.0,1,1.0,
PS374,G2,elat,Wild,E7,Fix-,LN,50%,B7,P14,0.389057483,,0.1545,12/16/2022,y,0.0,0,1.0,
